               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10175,            0.015278,                   0,             0.45838,             0.37258,             0.31526,             0.10918,            0.072421,            0.050751,                   0,            0.070213,           0.0033097,           0.0033097
                   1,            0.068189,            0.016301,                   0,             0.64428,             0.49964,              0.5238,             0.19347,            0.063647,            0.044062,                   0,            0.040081,           0.0065115,           0.0065115
                   2,            0.062852,            0.014579,                   0,             0.62157,             0.52836,              0.5314,             0.19075,            0.062589,            0.040921,                   0,           0.0098177,           0.0095813,           0.0095813
                   3,             0.05967,            0.013539,                   0,             0.75595,             0.56712,             0.63148,             0.34965,            0.052394,            0.041082,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.056787,            0.013836,                   0,             0.76943,             0.56856,             0.64137,              0.3458,            0.053805,            0.036912,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.053393,            0.013273,                   0,              0.7473,             0.57071,             0.62443,             0.35295,            0.050872,            0.038604,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.05242,            0.013113,                   0,             0.74907,             0.49928,             0.58583,             0.34875,            0.051203,            0.040998,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.051948,             0.01235,                   0,             0.75195,             0.54079,             0.62037,             0.35782,            0.049654,            0.038748,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049793,            0.012534,                   0,             0.70431,             0.53605,             0.60425,             0.34022,            0.048308,            0.041659,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.048455,            0.011833,                   0,             0.75501,             0.53553,             0.61113,             0.36333,            0.049694,            0.041285,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.048904,            0.011885,                   0,             0.72605,             0.55133,             0.62782,             0.38261,            0.047109,             0.03921,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.046445,            0.012088,                   0,             0.73028,             0.54559,             0.61682,             0.37859,            0.047462,            0.040624,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.04795,            0.011376,                   0,             0.66055,             0.58182,             0.62236,             0.36186,            0.047835,            0.038132,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.045176,            0.010911,                   0,             0.79402,             0.57251,             0.66364,             0.40921,            0.046228,            0.039972,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.046924,            0.010531,                   0,             0.79983,             0.57933,             0.66598,             0.39663,            0.045958,            0.037483,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.046186,            0.011315,                   0,             0.76916,             0.56461,             0.64103,             0.39566,            0.046158,            0.041945,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.046382,             0.01087,                   0,             0.76023,             0.60302,             0.67949,              0.4232,            0.044564,            0.037323,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.044114,            0.009714,                   0,             0.74909,             0.59258,              0.6726,             0.39731,            0.045952,            0.037435,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.045061,            0.010148,                   0,             0.76919,             0.59211,             0.68566,             0.42829,            0.043629,            0.036941,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.043617,            0.010118,                   0,             0.80911,             0.59792,             0.68867,             0.43443,            0.043788,            0.035129,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.044117,            0.010053,                   0,             0.77854,             0.57358,             0.65852,             0.42398,            0.043589,            0.039207,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.043515,            0.010486,                   0,             0.79358,             0.60266,             0.69213,             0.44173,             0.04334,            0.038665,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.042874,           0.0095319,                   0,             0.79978,             0.58399,             0.68467,             0.44208,            0.042712,            0.035428,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.042593,           0.0092553,                   0,             0.82424,             0.57286,             0.67266,             0.43832,            0.043498,            0.036451,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.041674,           0.0092157,                   0,             0.77558,             0.57897,              0.6637,             0.43223,            0.044622,            0.039896,                   0,            0.005446,            0.005446,            0.005446
                  25,             0.04159,           0.0092812,                   0,              0.8201,             0.56497,             0.65925,             0.43261,            0.043043,            0.040204,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.042248,            0.009082,                   0,              0.7977,             0.59261,             0.67868,             0.44556,            0.042617,            0.038324,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.041916,           0.0092085,                   0,             0.82984,              0.5829,             0.67033,             0.43997,             0.04328,             0.03715,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.041945,           0.0087632,                   0,             0.75921,             0.59077,             0.66621,             0.42988,            0.043422,            0.040932,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.041372,           0.0089068,                   0,             0.78963,             0.58741,             0.67386,             0.44016,            0.042014,             0.03779,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.039775,           0.0084122,                   0,             0.81696,              0.5883,             0.68334,             0.44648,            0.042299,            0.038778,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.040071,           0.0086153,                   0,             0.79564,             0.60092,              0.6856,             0.44886,            0.041663,            0.038939,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.040035,           0.0081723,                   0,             0.82733,             0.56928,             0.66592,             0.44271,            0.041984,            0.040906,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.039671,            0.008174,                   0,             0.82569,             0.59507,             0.68915,             0.45083,             0.04159,            0.037691,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.038933,           0.0079106,                   0,             0.83147,             0.57907,             0.68178,             0.44167,            0.041916,            0.039209,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.038323,           0.0078543,                   0,             0.83647,             0.58751,             0.67526,             0.44576,            0.042423,            0.039986,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.03898,           0.0084541,                   0,             0.83084,             0.60517,             0.68402,             0.45385,            0.041975,             0.03797,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.038767,           0.0085083,                   0,             0.83627,             0.59583,             0.68925,             0.45665,            0.041775,            0.037117,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.039135,           0.0080708,                   0,             0.79649,             0.58184,             0.65725,             0.43696,            0.042644,            0.041766,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.037779,           0.0081416,                   0,             0.80803,             0.57968,             0.65914,               0.443,            0.043141,            0.040749,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.038534,           0.0076271,                   0,             0.81519,             0.58423,             0.66979,             0.45001,            0.042124,            0.041378,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.037851,           0.0080681,                   0,             0.82244,             0.57717,             0.67147,             0.44843,            0.042049,            0.041626,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.03682,           0.0074321,                   0,             0.85361,             0.58186,             0.67222,             0.45687,            0.041745,            0.040066,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.037121,           0.0076469,                   0,             0.84644,             0.60445,             0.69369,             0.47034,            0.040888,            0.037544,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.035982,           0.0071717,                   0,             0.87354,             0.57968,             0.69057,             0.47033,             0.04103,            0.037725,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.037195,           0.0071517,                   0,             0.82514,             0.57394,             0.66779,             0.45364,            0.041546,            0.041523,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.037344,           0.0083012,                   0,             0.87051,             0.58112,             0.68991,              0.4706,            0.041147,            0.038511,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.036948,           0.0075228,                   0,              0.8583,             0.57681,             0.68158,             0.46148,            0.041139,            0.039654,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.03488,           0.0068104,                   0,             0.84797,             0.57071,              0.6698,               0.456,            0.041408,            0.040947,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.035116,            0.007171,                   0,             0.88072,             0.56425,             0.67226,              0.4613,            0.041251,            0.040648,                   0,            0.000496,            0.000496,            0.000496
