               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079119,            0.053727,                   0,             0.36291,             0.27641,             0.21123,            0.093932,            0.050374,            0.018648,                   0,             0.07024,           0.0033067,           0.0033067
                   1,            0.060069,             0.03701,                   0,              0.3248,             0.55896,             0.39417,             0.14749,            0.044733,            0.012354,                   0,            0.040109,           0.0065085,           0.0065085
                   2,            0.053118,            0.035059,                   0,             0.22266,             0.28521,             0.14407,            0.076667,            0.044505,            0.017436,                   0,           0.0098451,           0.0095784,           0.0095784
                   3,            0.046462,            0.034872,                   0,             0.47624,             0.33099,             0.24759,             0.17612,            0.036425,             0.02192,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.042605,            0.032531,                   0,             0.50097,             0.37148,             0.33015,             0.23224,            0.031118,            0.021145,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.039524,            0.031329,                   0,             0.56654,             0.36444,             0.34363,             0.24797,            0.031577,            0.020552,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.037444,            0.029005,                   0,             0.58824,             0.52289,             0.58111,             0.39981,            0.027183,            0.013822,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.036571,            0.030939,                   0,             0.57671,             0.40493,             0.43936,             0.32712,             0.02724,            0.016757,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.035473,            0.029169,                   0,             0.50977,              0.3662,             0.36907,             0.26581,            0.029363,            0.017764,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.034618,            0.028674,                   0,              0.5645,             0.42077,             0.48044,             0.35497,            0.026556,            0.016039,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.034616,             0.02776,                   0,               0.483,             0.43751,             0.44804,             0.33089,            0.025498,            0.015946,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.031333,            0.025386,                   0,             0.62157,             0.38556,             0.37501,             0.28408,            0.027606,            0.022509,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.032677,            0.027231,                   0,             0.48767,             0.55282,             0.51152,             0.37533,            0.023803,            0.013685,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.03224,            0.025438,                   0,             0.62696,             0.41021,             0.38998,             0.29541,            0.027048,            0.021772,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.031164,            0.026001,                   0,             0.65236,             0.37332,             0.41422,             0.32181,            0.023695,            0.019453,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.030663,            0.024664,                   0,             0.61006,             0.37676,              0.3721,               0.289,            0.026372,            0.022569,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.030595,            0.022992,                   0,              0.7595,             0.40588,             0.39888,              0.3108,            0.025328,            0.019891,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.029992,            0.023298,                   0,             0.66669,             0.39965,             0.41272,             0.31976,              0.0265,            0.021229,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.029368,            0.022373,                   0,             0.69731,             0.40153,             0.41728,             0.32713,            0.025068,            0.021551,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.028384,            0.023009,                   0,             0.70821,             0.66549,             0.69148,             0.51949,             0.02373,            0.010683,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.029264,            0.023662,                   0,             0.55763,             0.48415,             0.53682,              0.4035,            0.023136,            0.016107,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.028684,            0.022022,                   0,             0.60244,             0.63028,             0.61402,             0.46791,            0.022495,            0.012468,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.027852,            0.021279,                   0,              0.7963,              0.7993,             0.77917,              0.5926,            0.022355,           0.0093212,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.027675,            0.021042,                   0,             0.59929,              0.4419,             0.47248,             0.36984,            0.022729,            0.019332,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.027675,            0.020693,                   0,             0.59481,             0.47297,             0.52511,             0.40456,            0.022276,            0.016751,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.026394,            0.021152,                   0,             0.55455,             0.66373,             0.60417,             0.46267,            0.022929,            0.014764,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.027019,            0.020608,                   0,             0.70943,             0.42254,             0.43403,             0.34359,            0.024337,            0.021062,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.026511,            0.020466,                   0,             0.80623,             0.79049,             0.78985,             0.61125,            0.024361,           0.0089871,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.025543,            0.019828,                   0,             0.76898,             0.72669,             0.71606,             0.55388,            0.023977,            0.011165,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.025999,            0.019591,                   0,             0.52415,             0.51196,             0.49828,             0.38313,            0.025435,            0.018477,                   0,            0.004456,            0.004456,            0.004456
                  30,              0.0258,            0.019747,                   0,             0.59873,             0.60563,             0.61829,             0.47523,            0.024047,            0.014202,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.025749,            0.019619,                   0,             0.64643,             0.49824,             0.54853,             0.42506,            0.022167,            0.016578,                   0,             0.00406,             0.00406,             0.00406
